United States Senator,"RepublicanEric Schmitt","DemocraticTrudy Busch Valentine","LibertarianJonathan Dine","ConstitutionPaul Venable","Write-InNathan V. Mooney","Write-InTheo Brown Sr","Write-InDavid Kirk"
State Representative,Democratic,,,
District 23,Michael L. Johnson,,Total,
Kansas City,,4555,,4555
Total,,4555,,4555
State Representative,Democratic,,,
District 24,Emily Weber,,Total,
Kansas City,,11098,,11098
Total,,11098,,11098
State Representative,Democratic,,,
District 25,Patty Lewis,,Total,
Kansas City,,15286,,15286
Total,,15286,,15286
State Representative,Democratic,,,
District 26,Ashley Bland Manlove,,Total,
Kansas City,,8057,,8057
Total,,8057,,8057
State Representative,Democratic,,,
District 27,Richard Brown,,Total,
Kansas City,,8207,,8207
Total,,8207,,8207
State Representative,Republican,,Democratic,,,
District 28,Jennell Houts,,Jerome Barnes,,Total,
Jackson,,3102,,5573,,8675
Kansas City,,575,,1344,,1919
Total,,3677,,6917,,10594
State Representative,Republican,,Democratic,,,
District 29,David Martin,,Aaron Crossley,,Total,
Jackson,,5864,,6378,,12242
Total,,5864,,6378,,12242
State Representative,Republican,,Democratic,,,
District 30,Jon Patterson,,Sonia M Nizami,,Total,
Jackson,,8599,,7242,,15841
Total,,8599,,7242,,15841
"State RepresentativeDistrict 31","RepublicanDan Stacy","DemocraticRobert McCourt",Total
Jackson,7585,5776,13361
Total,7585,5776,13361
"State RepresentativeDistrict 32","RepublicanJeff Coleman","DemocraticJanice Brill",Total
Jackson,9045,3991,13036
Total,9045,3991,13036
"State RepresentativeDistrict 33","RepublicanChris Sander",Total
Jackson,10449,10449
Total,10449,10449
"State RepresentativeDistrict 34","RepublicanJ.C. Crossley","DemocraticKemp Strickler",Total
Jackson,6600,6645,13245
Total,6600,6645,13245
"State RepresentativeDistrict 35","RepublicanJohn Burrows","DemocraticKeri Ingle",Total
Jackson,4790,5512,10302
Kansas City,1852,3357,5209
Total,6642,8869,15511
State Representative,Republican,,Democratic,,,
District 36,Kurt Lauvstad,,Anthony Ealy,,Total,
Jackson,,2057,,3963,,6020
Kansas City,,2003,,2585,,4588
Total,,4060,,6548,,10608
State Representative,Democratic,,,
District 37,Mark A. Sharp,,Total,
Kansas City,,8055,,8055
Total,,8055,,8055
State Representative,Republican,,,
District 38,Chris Lonsdale,,Total,
Clay,,10111,,10111
Total,,10111,,10111
State Representative,Republican,,,
District 39,Doug Richey,,Total,
Clay,,11120,,11120
Total,,11120,,11120
State Representative,Republican,,,
District 40,Chad Perkins,,Total,
Lincoln,,6298,,6298
Pike,,4284,,4284
Total,,10582,,10582
State Representative,Republican,,Democratic,,Libertarian,,
District 41,Doyle Justus,,David D Norman,,Becky Martin,,Total
Lincoln,,9065,,2721,,665,12451
Total,,9065,,2721,,665,12451
State Representative,Republican,,,
District 42,Jeff Myers,,Total,
Montgomery,,1048,,1048
Warren,,10992,,10992
Total,,12040,,12040
State Representative,Republican,,,
District 43,Kent Haden,,Total,
Audrain,,6332,,6332
Callaway,,1776,,1776
Monroe,,2507,,2507
Total,,10615,,10615
State Representative,Republican,,Democratic,,,
District 44,Cheri Toalson Reisch,,Dave Raithel,,Total,
Boone,,9021,,5393,,14414
Total,,9021,,5393,,14414
State Representative,Democratic,,,
District 45,Kathy Steinhoff,,Total,
Boone,,6373,,6373
Total,,6373,,6373
State Representative,Democratic,,,
District 46,David Tyson Smith,,Total,
Boone,,7549,,7549
Total,,7549,,7549
State Representative,Republican,,Democratic,,,
District 47,John Martin,,Adrian Plank,,Total,
Boone,,8009,,8763,,16772
Total,,8009,,8763,,16772
State Representative,Republican,,,
District 48,Tim Taylor,,Total,
Chariton,,2346,,2346
Cooper,,5277,,5277
Howard,,3198,,3198
Randolph,,938,,938
Total,,11759,,11759
State Representative,Republican,,Democratic,,,
District 49,Jim Schulte,,Jessica Slisz,,Total,
Callaway,,9273,,3672,,12945
Total,,9273,,3672,,12945
State Representative,Republican,,Democratic,,,
District 50,James Musgraves,,Douglas Mann,,Total,
Boone,,5956,,7335,,13291
Total,,5956,,7335,,13291
State Representative,Republican,,Constitution,,,
District 51,Kurtis Gregory,,Jenn E. DePee,,Total,
Lafayette,,4594,,844,,5438
Saline,,4870,,1046,,5916
Total,,9464,,1890,,11354
State Representative,Republican,,Democratic,,,
District 52,Bradley Pollitt,,Rene Vance,,Total,
Pettis,,7831,,2592,,10423
Total,,7831,,2592,,10423
State Representative,Republican,,,
District 53,Terry Thompson,,Total,
Lafayette,,5554,,5554
Ray,,5380,,5380
Total,,10934,,10934
State Representative,Republican,,,
District 54,Dan Houx,,Total,
Johnson,,9475,,9475
Total,,9475,,9475
State Representative,Republican,,,
District 55,Mike Haffner,,Total,
Cass,,12095,,12095
Total,,12095,,12095
"State RepresentativeDistrict 56","RepublicanMichael Davis","DemocraticPatty Johnson",Total
Cass,6774,5054,11828
Total,6774,5054,11828
"State RepresentativeDistrict 57","RepublicanRodger L. Reedy","LibertarianWilliam Truman (Bill) Wayne",Total
Benton,5285,886,6171
Johnson,3236,869,4105
Pettis,2202,348,2550
Total,10723,2103,12826
"State RepresentativeDistrict 58","RepublicanWillard Haley",Total
Cooper,64,64
Moniteau,4501,4501
Morgan,5960,5960
Total,10525,10525
"State RepresentativeDistrict 59","RepublicanRudy Veit",Total
Cole,13613,13613
Total,13613,13613
"State RepresentativeDistrict 60","RepublicanDave Griffith","DemocraticJ. Don Salcedo",Total
Cole,7577,4605,12182
Total,7577,4605,12182
State Representative,Republican,,,
District 61,Bruce Sassmann,,Total,
Gasconade,,4887,,4887
Miller,,508,,508
Montgomery,,2459,,2459
Osage,,5020,,5020
Total,,12874,,12874
State Representative,Republican,,Democratic,,,
District 62,Sherri Gallick,,Jim Hogan,,Total,
Bates,,1724,,604,,2328
Cass,,9316,,3457,,12773
Total,,11040,,4061,,15101
State Representative,Republican,,Democratic,,,
District 63,Tricia K. Byrnes,,Jenna Roberson,,Total,
St. Charles,,7616,,3887,,11503
Total,,7616,,3887,,11503
State Representative,Republican,,,
District 64,Tony Lovasco,,Total,
St. Charles,,10252,,10252
Total,,10252,,10252
State Representative,Republican,,Democratic,,,
District 65,Wendy Hausman,,Eric Nowicki,,Total,
St. Charles,,8281,,5442,,13723
Total,,8281,,5442,,13723
State Representative,Democratic,,,
District 66,Marlene Terry,,Total,
St. Louis,,6033,,6033
Total,,6033,,6033
State Representative,Democratic,,
District 67,Chantelle N. Nickson-Clark,Total,
St. Louis,11514,,11514
Total,11514,,11514
State Representative,Democratic,,,
District 68,Jay Mosley,,Total,
St. Louis,,8128,,8128
Total,,8128,,8128
State Representative,Republican,,Democratic,,,
District 69,Adam Schnelting,,Jessica DeVoto,,Total,
St. Charles,,9376,,6325,,15701
Total,,9376,,6325,,15701
State Representative,Democratic,,Libertarian,,,
District 70,Gretchen Bangert,,Dustin Coffell,,Total,
St. Louis,,7225,,2484,,9709
Total,,7225,,2484,,9709
State Representative,Republican,,Democratic,,
District 71,Karan Pujji,,LaDonna Appelbaum,Total,
St. Louis,,5736,10199,,15935
Total,,5736,10199,,15935
State Representative,Democratic,,,
District 72,Doug Clemens,,Total,
St. Louis,,7114,,7114
Total,,7114,,7114
State Representative,Democratic,,,
District 73,Raychel Proudie,,Total,
St. Louis,,6741,,6741
Total,,6741,,6741
State Representative,Democratic,,,
District 74,Kevin Windham Jr.,,Total,
St. Louis,,7451,,7451
Total,,7451,,7451
State Representative,Democratic,,,
District 75,Alan Gray,,Total,
St. Louis,,8295,,8295
Total,,8295,,8295
State Representative,Democratic,,,
District 76,Marlon Anderson,,Total,
St. Louis City,,8049,,8049
Total,,8049,,8049
State Representative,Democratic,,,
District 77,Kimberly-Ann Collins,,Total,
St. Louis City,,9218,,9218
Total,,9218,,9218
State Representative,Democratic,,,
District 78,Rasheen Aldridge Jr.,,Total,
St. Louis City,,6869,,6869
Total,,6869,,6869
State Representative,Democratic,,,
District 79,LaKeySha Bosley,,Total,
St. Louis City,,7844,,7844
Total,,7844,,7844
State Representative,Republican,,Democratic,,Libertarian,
District 80,Kirk Hilzinger,,Peter J. Merideth,,Rebecca Sharpe Lombard,Total
St. Louis City,,1525,,8859,329,10713
Total,,1525,,8859,329,10713
State Representative,Republican,,Democratic,,,
District 81,Jake Koehr,,Steve Butz,,Total,
St. Louis City,,2183,,7592,,9775
Total,,2183,,7592,,9775
State Representative,Republican,,Democratic,,
District 82,Robert J. Crump,,Donna M.C. Baringer,Total,
St. Louis City,,4326,12964,,17290
Total,,4326,12964,,17290
State Representative,Democratic,,Libertarian,,,
District 83,Sarah Unsicker,,Andrew Bolin,,Total,
St. Louis,,11078,,3518,,14596
Total,,11078,,3518,,14596
State Representative,Democratic,,,
District 84,Del Taylor,,Total,
St. Louis City,,8991,,8991
Total,,8991,,8991
State Representative,Democratic,,
District 85,Yolonda Fountain Henderson,Total,
St. Louis,7026,,7026
Total,7026,,7026
State Representative,Democratic,,,
District 86,Joe Adams,,Total,
St. Louis,,11582,,11582
Total,,11582,,11582
State Representative,Democratic,,,
District 87,Paula Brown,,Total,
St. Louis,,8707,,8707
Total,,8707,,8707
State Representative,Republican,,Democratic,,,
District 88,Holly Jones,,Kyle Luzynski,,Total,
St. Louis,,9723,,6154,,15877
Total,,9723,,6154,,15877
State Representative,Republican,,Democratic,,,
District 89,Dean Plocher,,Luke Barber,,Total,
St. Louis,,10559,,7002,,17561
Total,,10559,,7002,,17561
State Representative,Republican,Democratic,,,
District 90,"Gary Albert Bokermann, Jr.",Barbara Phifer,,Total,
St. Louis,6795,,11355,,18150
Total,6795,,11355,,18150
State Representative,Democratic,,,
District 91,Jo Doll,,Total,
St. Louis,,13239,,13239
Total,,13239,,13239
State Representative,Republican,,Democratic,,,
District 92,Bob Mahacek,,Michael Burton,,Total,
St. Louis,,6903,,7235,,14138
Total,,6903,,7235,,14138
State Representative,Republican,,Democratic,,,
District 93,Kenneth Abram,,Bridget Walsh Moore,,Total,
St. Louis,,4253,,5129,,9382
Total,,4253,,5129,,9382
State Representative,Republican,,Democratic,,,
District 94,Jim Murphy,,Kyle W. Kerns,,Total,
St. Louis,,7892,,5926,,13818
Total,,7892,,5926,,13818
State Representative,Republican,,Democratic,,,
District 95,Michael A O'Donnell,,Ann Zimpfer,,Total,
St. Louis,,9809,,6914,,16723
Total,,9809,,6914,,16723
"State RepresentativeDistrict 96","RepublicanBrad Christ","DemocraticLeslie Derrington",Total
St. Louis,9596,8026,17622
Total,9596,8026,17622
"State RepresentativeDistrict 97","RepublicanDavid Casteel",Total
Jefferson,9313,9313
Total,9313,9313
"State RepresentativeDistrict 98","RepublicanRyan Higgins","DemocraticDeb Lavender",Total
St. Louis,7733,8213,15946
Total,7733,8213,15946
"State RepresentativeDistrict 99","RepublicanLavanna Wrobley","DemocraticIan Mackey",Total
St. Louis,5154,9768,14922
Total,5154,9768,14922
"State RepresentativeDistrict 100","RepublicanPhilip Oehlerking","DemocraticColin Lovett",Total
St. Louis,8315,8134,16449
Total,8315,8134,16449
"State RepresentativeDistrict 101","RepublicanBen Keathley","DemocraticMelissa Greenstein","LibertarianJeff Coleman",Total
St. Louis,9322,8184,204,17710
Total,9322,8184,204,17710
"State RepresentativeDistrict 102","RepublicanRichard W West",Total
St. Charles,12034,12034
Total,12034,12034
"State RepresentativeDistrict 103","RepublicanDave Hinman",Total
St. Charles,9056,9056
Total,9056,9056
"State RepresentativeDistrict 104","RepublicanPhil Christofanelli","DemocraticGregory A Upchurch",Total
St. Charles,7978,6353,14331
Total,7978,6353,14331
"State RepresentativeDistrict 105","RepublicanAdam Schwadron","DemocraticCindy Berne","LibertarianMichael Carver",Total
St. Charles,5404,5305,242,10951
Total,5404,5305,242,10951
"State RepresentativeDistrict 106","RepublicanTravis Wilson","DemocraticRon Odenthal",Total
St. Charles,7621,6359,13980
Total,7621,6359,13980
"State RepresentativeDistrict 107","RepublicanMark A Matthiesen","DemocraticTracy Grundy",Total
St. Charles,8151,5447,13598
Total,8151,5447,13598
"State RepresentativeDistrict 108","RepublicanJustin Hicks","DemocraticSusan Shumway",Total
St. Charles,8895,5028,13923
Total,8895,5028,13923
"State RepresentativeDistrict 109","RepublicanKyle Marquart",Total
Franklin,12967,12967
Total,12967,12967
"State RepresentativeDistrict 110","RepublicanJustin Sparks","DemocraticJosh Thackston",Total
St. Louis,11302,6303,17605
Total,11302,6303,17605
State Representative,Republican,,,
District 111,Gary Bonacker,,Total,
Jefferson,,11065,,11065
Total,,11065,,11065
State Representative,Republican,,,
District 112,Renee Reuter,,Total,
Jefferson,,10629,,10629
Total,,10629,,10629
State Representative,Republican,,,
District 113,Phil Amato,,Total,
Jefferson,,10168,,10168
Total,,10168,,10168
State Representative,Republican,,Democratic,,,
District 114,Ken Waller,,Jessie Shepherd,,Total,
Jefferson,,8545,,4136,,12681
Total,,8545,,4136,,12681
State Representative,Republican,Democratic,,,
District 115,Cyndi Buchheit-Courtway,Barbara Marco,,Total,
Jefferson,9587,,3701,,13288
Total,9587,,3701,,13288
State Representative,Republican,,,
District 116,Dale Wright,,Total,
Madison,,2623,,2623
St. Francois,,6333,,6333
Total,,8956,,8956
State Representative,Republican,,,
District 117,Mike Henderson,,Total,
St. Francois,,8722,,8722
Total,,8722,,8722
State Representative,Republican,,Democratic,,,
District 118,Mike McGirl,,Sally Brooks,,Total,
Franklin,,7110,,2368,,9478
Washington,,2310,,666,,2976
Total,,9420,,3034,,12454
State Representative,Republican,,,
District 119,Brad Banderman,,Total,
Franklin,,9132,,9132
Total,,9132,,9132
State Representative,Republican,,,
District 120,Ron Copeland,,Total,
Crawford,,6662,,6662
Dent,,4366,,4366
Total,,11028,,11028
State Representative,Republican,,,
District 121,Bill Hardwick,,Total,
Pulaski,,3671,,3671
Texas,,0,,0
Total,,3671,,3671
State Representative,Republican,,Democratic,,,
District 122,Tara J. Peters,,Lisa McCarthy,,Total,
Phelps,,7755,,3474,,11229
Total,,7755,,3474,,11229
State Representative,Republican,,,
District 123,Lisa Thomas,,Total,
Camden,,13903,,13903
Total,,13903,,13903
State Representative,Republican,,,
District 124,Don Mayhew,,Total,
Miller,,6968,,6968
Pulaski,,4412,,4412
Total,,11380,,11380
State Representative,Republican,,Libertarian,,,
District 125,Dane Diehl,,Robert E. Smith,,Total,
Bates,,2931,,424,,3355
Cedar,,2638,,353,,2991
Vernon,,5040,,933,,5973
Total,,10609,,1710,,12319
State Representative,Republican,,,
District 126,Jim Kalberloh,,Total,
Benton,,1098,,1098
Henry,,6329,,6329
Hickory,,922,,922
St. Clair,,3256,,3256
Total,,11605,,11605
State Representative,Republican,,Democratic,,,
District 127,Ann Kelley,,Marvin Manring,,Total,
Barton,,3824,,481,,4305
Cedar,,1448,,599,,2047
Dade,,2583,,400,,2983
Jasper,,3698,,544,,4242
Total,,11553,,2024,,13577
State Representative,Republican,,Democratic,,,
District 128,Mike Stephens,,Rich Horton,,Total,
Hickory,,2068,,508,,2576
Polk,,8677,,1794,,10471
Total,,10745,,2302,,13047
State Representative,Republican,,,
District 129,John F. Black,,Total,
Webster,,12106,,12106
Total,,12106,,12106
State Representative,Republican,,,
District 130,Bishop Davidson,,Total,
Greene,,9434,,9434
Total,,9434,,9434
State Representative,Republican,,,
District 131,Bill Owen,,Total,
Greene,,12492,,12492
Total,,12492,,12492
State Representative,Republican,,Democratic,,,
District 132,Stephanos Freeman,,Crystal Quade,,Total,
Greene,,3075,,3968,,7043
Total,,3075,,3968,,7043
State Representative,Republican,,Democratic,,,
District 133,Melanie Stinnett,,Amy Blansit,,Total,
Greene,,4468,,4061,,8529
Total,,4468,,4061,,8529
State Representative,Republican,,Democratic,,,
District 134,Alex Riley,,Samantha Deaton,,Total,
Greene,,8876,,5206,,14082
Total,,8876,,5206,,14082
State Representative,Republican,,Democratic,,,
District 135,AJ Exner,,Betsy Fogle,,Total,
Greene,,4720,,6071,,10791
Total,,4720,,6071,,10791
State Representative,Republican,,Democratic,,,
District 136,Craig Fishel,,Stephanie Hein,,Total,
Greene,,6714,,6917,,13631
Total,,6714,,6917,,13631
State Representative,Republican,,,
District 137,Darin Chappell,,Total,
Greene,,13708,,13708
Total,,13708,,13708
State Representative,Republican,,,
District 138,Brad Hudson,,Total,
Christian,,4002,,4002
Stone,,10343,,10343
Total,,14345,,14345
State Representative,Republican,,,
District 139,Bob Titus,,Total,
Christian,,12011,,12011
Total,,12011,,12011
"State RepresentativeDistrict 140","RepublicanJamie Ray Gragg","DemocraticAmy Freeland",Total
Christian,10605,3115,13720
Total,10605,3115,13720
"State RepresentativeDistrict 141","RepublicanHannah Kelly",Total
Douglas,1043,1043
Laclede,6169,6169
Webster,50,50
Wright,5593,5593
Total,12855,12855
"State RepresentativeDistrict 142","RepublicanJeff Knight",Total
Camden,1339,1339
Dallas,5098,5098
Laclede,4270,4270
Total,10707,10707
"State RepresentativeDistrict 143","RepublicanBennie Cook","DemocraticBernadette Holzer",Total
Maries,2897,539,3436
Phelps,1834,472,2306
Texas,7135,1079,8214
Total,11866,2090,13956
State Representative,Republican,,,
District 144,Chris Dinkins,,Total,
Bollinger,,1592,,1592
Iron,,2553,,2553
Madison,,606,,606
Reynolds,,2047,,2047
Shannon,,1506,,1506
Washington,,3463,,3463
Wayne,,143,,143
Total,,11910,,11910
State Representative,Republican,,,
District 145,Rick Francis,,Total,
Perry,,5315,,5315
Ste. Genevieve,,5167,,5167
Total,,10482,,10482
State Representative,Republican,,,
District 146,Barry D. Hovis,,Total,
Cape Girardeau,,13264,,13264
Total,,13264,,13264
State Representative,Republican,,Democratic,,Libertarian,,
District 147,John Voss,,Andy Leighton,,Greg Tlapek,,Total
Cape Girardeau,,6990,,3405,,450,10845
Total,,6990,,3405,,450,10845
"State RepresentativeDistrict 148","RepublicanJamie Burger",Total
Scott,10107,10107
Total,10107,10107
"State RepresentativeDistrict 149","RepublicanDonnie Brown",Total
Mississippi,2523,2523
New Madrid,3823,3823
Pemiscot,1518,1518
Total,7864,7864
"State RepresentativeDistrict 150","RepublicanCameron Bunting Parker",Total
Butler,1472,1472
Dunklin,5340,5340
Pemiscot,1231,1231
Total,8043,8043
"State RepresentativeDistrict 151","RepublicanHerman Morse",Total
Bollinger,2041,2041
Cape Girardeau,1364,1364
Stoddard,7822,7822
Total,11227,11227
"State RepresentativeDistrict 152","RepublicanHardy W Billington",Total
Butler,8658,8658
Total,8658,8658
"State RepresentativeDistrict 153","RepublicanDarrell Atchison",Total
Carter,1676,1676
Howell,221,221
Oregon,2589,2589
Ripley,3289,3289
Shannon,852,852
Wayne,3392,3392
Total,12019,12019
"State RepresentativeDistrict 154","RepublicanDavid Paul Evans",Total
Howell,11345,11345
Total,11345,11345
"State RepresentativeDistrict 155","RepublicanTravis Smith",Total
Douglas,3420,3420
Ozark,3290,3290
Stone,1557,1557
Taney,5524,5524
Total,13791,13791
State Representative,Republican,,Democratic,,,
District 156,Brian Seitz,,Ginger Kissee Witty,,Total,
Taney,,8765,,2489,,11254
Total,,8765,,2489,,11254
State Representative,Republican,,,
District 157,Mitch Boggs,,Total,
Lawrence,,10766,,10766
Total,,10766,,10766
State Representative,Republican,,Write-In,,,
District 158,Scott Cupps,,Jeremy Gundel,,Total,
Barry,,9658,,2,,9660
McDonald,,1150,,8,,1158
Total,,10808,,10,,10818
State Representative,Republican,,,
District 159,Dirk Deaton,,Total,
McDonald,,4371,,4371
Newton,,6266,,6266
Total,,10637,,10637
State Representative,Republican,,,
District 160,Ben Baker,,Total,
Newton,,11034,,11034
Total,,11034,,11034
"State RepresentativeDistrict 161","RepublicanLane Roberts",Total
Jasper,6819,6819
Total,6819,6819
"State RepresentativeDistrict 162","RepublicanBob Bromley",Total
Jasper,9869,9869
Total,9869,9869
"State RepresentativeDistrict 163","RepublicanCody Smith",Total
Jasper,8911,8911
Total,8911,8911
"Circuit JudgeCircuit 1","RepublicanRick Roberts",Total
Clark,2101,2101
Schuyler,1254,1254
Scotland,1123,1123
Total,4478,4478
"Circuit JudgeCircuit 5 Division 2","RepublicanDavid Bolander",Total
Andrew,5571,5571
Buchanan,20016,20016
Total,25587,25587
"Circuit JudgeCircuit 11 Division 2","RepublicanDeborah J Alessi",Total
St. Charles,109447,109447
Total,109447,109447
"Circuit JudgeCircuit 13 Division 2","DemocraticJeff Harris",Total
Boone,42641,42641
Callaway,9765,9765
Total,52406,52406
"Circuit JudgeCircuit 17 Division 2","RepublicanMike Wagner",Total
Cass,31680,31680
Johnson,13228,13228
Total,44908,44908
"Circuit JudgeCircuit 20 Division 2","RepublicanRyan J. Helfrich","DemocraticBill Stahlhuth",Total
Franklin,26693,9372,36065
Gasconade,4545,1021,5566
Osage,4636,740,5376
Total,35874,11133,47007
"Circuit JudgeCircuit 23 Division 3","RepublicanTravis Partney",Total
Jefferson,61192,61192
Total,61192,61192
"Circuit JudgeCircuit 25 Division 2","RepublicanJohn D. Beger",Total
Maries,3059,3059
Phelps,11753,11753
Pulaski,7998,7998
Texas,7117,7117
Total,29927,29927
"Circuit JudgeCircuit 26 Division 2","RepublicanKenny Hayden",Total
Camden,15174,15174
Laclede,10437,10437
Miller,7440,7440
Moniteau,4441,4441
Morgan,5987,5987
Total,43479,43479
Circuit Judge,Republican,
Circuit 29 Division 2,Dean G Dankelson,Total
Jasper,29653,29653
Total,29653,29653
Circuit Judge,Republican,
Circuit 38 Division 2,Jessica Kruse,Total
Christian,27718,27718
Total,27718,27718
"Nonpartisan JudgeMissouri Supreme CourtZel M Fisher",YES,NO,Total
Adair,3910,1843,5753
Andrew,4502,1383,5885
Atchison,1688,186,1874
Audrain,4604,1791,6395
Barry,7737,2045,9782
Barton,2972,847,3819
Bates,3460,1608,5068
Benton,5109,1769,6878
Bollinger,2839,820,3659
Boone,34724,15314,50038
Buchanan,16090,5660,21750
Butler,7188,3043,10231
Caldwell,2055,936,2991
Callaway,9917,3358,13275
Camden,12064,4032,16096
Cape Girardeau,18048,5900,23948
Carroll,2025,937,2962
Carter,950,584,1534
Cass,24165,10691,34856
Cedar,3477,1070,4547
Chariton,1691,683,2374
Christian,23294,5954,29248
Clark,1491,551,2042
Clay,48324,29937,78261
Clinton,4681,1980,6661
Cole,19007,6402,25409
Cooper,4239,1279,5518
Crawford,4267,2376,6643
Dade,2063,582,2645
Dallas,4042,1159,5201
"Nonpartisan JudgeMissouri Supreme CourtZel M Fisher",YES,NO,Total
Daviess,1710,670,2380
De Kalb,2246,770,3016
Dent,3070,1271,4341
Douglas,3330,998,4328
Dunklin,4366,1068,5434
Franklin,21998,10093,32091
Gasconade,3185,1620,4805
Gentry,1553,495,2048
Greene,61806,22779,84585
Grundy,1941,926,2867
Harrison,1629,693,2322
Henry,4675,1983,6658
Hickory,2311,894,3205
Holt,1268,269,1537
Howard,2370,863,3233
Howell,9183,2463,11646
Iron,1776,806,2582
Jackson,70209,42454,112663
Jasper,21975,8863,30838
Jefferson,43487,24010,67497
Johnson,10439,3680,14119
Kansas City,48662,28489,77151
Knox,773,299,1072
Laclede,8364,2413,10777
Lafayette,7344,3387,10731
Lawrence,8929,2178,11107
Lewis,2206,582,2788
Lincoln,11610,5827,17437
Linn,2579,1021,3600
Livingston,2946,1214,4160
"Nonpartisan JudgeMissouri Supreme CourtZel M Fisher",YES,NO,Total
Macon,3822,1203,5025
Madison,2268,990,3258
Maries,1971,1002,2973
Marion,5720,1686,7406
McDonald,3800,1580,5380
Mercer,736,359,1095
Miller,5791,1806,7597
Mississippi,2017,572,2589
Moniteau,3418,1054,4472
Monroe,1966,700,2666
Montgomery,2425,1121,3546
Morgan,4385,1562,5947
New Madrid,2806,930,3736
Newton,12753,4944,17697
Nodaway,4760,1518,6278
Oregon,1918,632,2550
Osage,3149,1610,4759
Ozark,2377,729,3106
Pemiscot,1758,906,2664
Perry,3939,1282,5221
Pettis,8743,3223,11966
Phelps,8404,3474,11878
Pike,3018,1401,4419
Platte,24410,11668,36078
Polk,6924,2502,9426
Pulaski,6452,1862,8314
Putnam,1087,340,1427
Ralls,2496,912,3408
Randolph,4844,1764,6608
Ray,4733,2306,7039
"Nonpartisan JudgeMissouri Supreme CourtZel M Fisher",YES,NO,Total
Reynolds,1332,567,1899
Ripley,2429,739,3168
Saline,3601,1788,5389
Schuyler,873,415,1288
Scotland,815,275,1090
Scott,8138,2208,10346
Shannon,1632,764,2396
Shelby,1322,581,1903
St. Charles,85180,40300,125480
St. Clair,2367,934,3301
St. Francois,10862,4957,15819
St. Louis,189454,118183,307637
St. Louis City,40916,30399,71315
Ste. Genevieve,3704,1829,5533
Stoddard,5964,1632,7596
Stone,9661,2286,11947
Sullivan,1050,480,1530
Taney,12456,3031,15487
Texas,5671,1579,7250
Vernon,4417,1248,5665
Warren,7346,3767,11113
Washington,4034,2025,6059
Wayne,2599,870,3469
Webster,9747,2902,12649
Worth,507,238,745
Wright,3894,1599,5493
Total,1211424,569032,1780456
"Nonpartisan JudgeMissouri Supreme CourtRobin Ransom",YES,NO,Total
Adair,3914,1790,5704
Andrew,4395,1392,5787
Atchison,1381,276,1657
Audrain,4561,1741,6302
Barry,7551,2126,9677
Barton,2821,964,3785
Bates,3396,1620,5016
Benton,4920,1815,6735
Bollinger,2716,884,3600
Boone,37548,12286,49834
Buchanan,15805,5413,21218
Butler,7147,3039,10186
Caldwell,2006,929,2935
Callaway,9909,3308,13217
Camden,11587,4284,15871
Cape Girardeau,17746,5891,23637
Carroll,1988,959,2947
Carter,945,567,1512
Cass,24047,10230,34277
Cedar,3344,1137,4481
Chariton,1650,691,2341
Christian,22731,6245,28976
Clark,1425,586,2011
Clay,50522,27050,77572
Clinton,4552,1980,6532
Cole,18800,6275,25075
Cooper,4221,1267,5488
Crawford,4194,2379,6573
Dade,2008,611,2619
Dallas,3887,1260,5147
"Nonpartisan JudgeMissouri Supreme CourtRobin Ransom",YES,NO,Total
Daviess,1672,654,2326
De Kalb,2182,789,2971
Dent,2938,1366,4304
Douglas,3205,1061,4266
Dunklin,4283,1096,5379
Franklin,21853,10169,32022
Gasconade,3127,1636,4763
Gentry,1487,502,1989
Greene,62344,22145,84489
Grundy,1932,909,2841
Harrison,1578,718,2296
Henry,4496,2063,6559
Hickory,2222,894,3116
Holt,1112,327,1439
Howard,2340,839,3179
Howell,9009,2482,11491
Iron,1752,789,2541
Jackson,73953,38410,112363
Jasper,21936,8784,30720
Jefferson,42907,23499,66406
Johnson,10481,3547,14028
Kansas City,55074,21709,76783
Knox,753,301,1054
Laclede,8311,2438,10749
Lafayette,7279,3390,10669
Lawrence,8655,2338,10993
Lewis,2191,562,2753
Lincoln,11462,5878,17340
Linn,2531,986,3517
Livingston,2911,1218,4129
"Nonpartisan JudgeMissouri Supreme CourtRobin Ransom",YES,NO,Total
Macon,3799,1197,4996
Madison,2199,1015,3214
Maries,1930,1012,2942
Marion,5661,1647,7308
McDonald,3750,1600,5350
Mercer,700,378,1078
Miller,5505,2001,7506
Mississippi,1917,621,2538
Moniteau,3300,1086,4386
Monroe,1955,682,2637
Montgomery,2416,1116,3532
Morgan,4216,1611,5827
New Madrid,2751,926,3677
Newton,12340,5277,17617
Nodaway,4595,1532,6127
Oregon,1882,625,2507
Osage,3077,1659,4736
Ozark,2293,783,3076
Pemiscot,1790,857,2647
Perry,3790,1355,5145
Pettis,8614,3301,11915
Phelps,8305,3513,11818
Pike,2965,1409,4374
Platte,24999,10886,35885
Polk,6829,2565,9394
Pulaski,5309,2605,7914
Putnam,1058,333,1391
Ralls,2481,855,3336
Randolph,4810,1716,6526
Ray,4598,2314,6912
"Nonpartisan JudgeMissouri Supreme CourtRobin Ransom",YES,NO,Total
Reynolds,1294,572,1866
Ripley,2313,802,3115
Saline,3624,1741,5365
Schuyler,869,412,1281
Scotland,819,266,1085
Scott,7964,2274,10238
Shannon,1584,773,2357
Shelby,1311,559,1870
